	pref	flag	fixed_num	recall	precision	fscore
0	tk	icho	50	1.0	0.4444444444444444	0.6153846153846153
1	tk	icho	150	1.0	0.4444444444444444	0.6153846153846153
2	tk	icho	250	1.0	0.5	0.6666666666666666
3	tk	icho	500	0.6666666666666666	0.4	0.5
4	tk	kaede	50	0.0	0.0	0.0
5	tk	kaede	150	0.0	0.0	0.0
6	tk	kaede	250	0.0	0.0	0.0
7	tk	kaede	500	0.5555555555555556	0.3125	0.39999999999999997
8	tk	sonota	50	0.6153846153846154	0.47058823529411764	0.5333333333333333
9	tk	sonota	150	0.6153846153846154	0.5	0.5517241379310345
10	tk	sonota	250	1.0	0.65	0.787878787878788
11	tk	sonota	500	0.6153846153846154	0.5	0.5517241379310345
12	tk	koyo	50	1.0	0.48148148148148145	0.65
13	tk	koyo	150	1.0	0.48148148148148145	0.65
14	tk	koyo	250	1.0	0.48148148148148145	0.65
15	tk	koyo	500	1.0	0.4642857142857143	0.6341463414634146
16	hk	icho	50	0.0	0.0	0.0
17	hk	icho	150	0.0	0.0	0.0
18	hk	icho	250	0.2727272727272727	0.11538461538461539	0.16216216216216214
19	hk	icho	500	0.0	0.0	0.0
20	hk	kaede	50	0.0	0.0	0.0
21	hk	kaede	150	0.125	0.25	0.16666666666666666
22	hk	kaede	250	0.125	0.25	0.16666666666666666
23	hk	kaede	500	0.125	0.25	0.16666666666666666
24	hk	sonota	50	0.0	0.0	0.0
25	hk	sonota	150	0.0	0.0	0.0
26	hk	sonota	250	0.03125	0.25	0.05555555555555555
27	hk	sonota	500	0.03125	0.25	0.05555555555555555
28	hk	koyo	50	0.0	0.0	0.0
29	hk	koyo	150	0.0	0.0	0.0
30	hk	koyo	250	0.0	0.0	0.0
31	hk	koyo	500	0.09375	0.17647058823529413	0.12244897959183672
32	is	icho	50	0.0	0.0	0.0
33	is	icho	150	0.0	0.0	0.0
34	is	icho	250	0.0	0.0	0.0
35	is	icho	500	0.0	0.0	0.0
36	is	kaede	50	0.25	0.13043478260869565	0.1714285714285714
37	is	kaede	150	0.25	0.13043478260869565	0.1714285714285714
38	is	kaede	250	0.25	0.13043478260869565	0.1714285714285714
39	is	kaede	500	0.25	0.13043478260869565	0.1714285714285714
40	is	sonota	50	0.0	0.0	0.0
41	is	sonota	150	0.0	0.0	0.0
42	is	sonota	250	0.15789473684210525	0.23076923076923078	0.18749999999999997
43	is	sonota	500	0.15789473684210525	0.23076923076923078	0.18749999999999997
44	is	koyo	50	0.0	0.0	0.0
45	is	koyo	150	0.0	0.0	0.0
46	is	koyo	250	0.5789473684210527	0.5	0.5365853658536586
47	is	koyo	500	0.3157894736842105	0.5454545454545454	0.39999999999999997
